"","district.ID","numb.ini","district.name","males","females","total","males.per","females.per","gender.ratio","young","medium","old","young.per","medium.per","abitur.per","nodegree.per","unemployment","GDP.cap","pop.dens","refugees","east","refugee.ratio"
"82",5316,0,"Leverkusen, kreisfreie Stadt",78273,83267,161540,0.484542528166398,0.515457471833602,0.940024259310411,48459,73224,44527,0.299981428748298,0.453287111551319,50.7,5.7,8.6,40992,2039,542,0,0.0033552061408939
"83",5334,6,"Städteregion Aachen, Landkreis",274575,273086,547661,0.501359417595922,0.498640582404078,1.00545249481848,185961,239310,140572,0.339554943660403,0.436967394063116,51.7,3.7,8.9,29622,771,2191,0,0.00400065003715802
"84",5358,1,"Düren, Landkreis",127781,131292,259073,0.493223917583075,0.506776082416925,0.973258081223532,79299,116556,70303,0.306087473414829,0.449896361257252,44.7,3.8,8.2,24429,274.5,926,0,0.00357428215213473
"85",5362,0,"Rhein-Erft-Kreis",223820,235628,459448,0.487149797147882,0.512850202852118,0.949887110190639,137634,209753,124125,0.299563824415385,0.456532621754801,47.4,3.4,7.6,27977,648,1073,0,0.00233541118907907
"86",5366,2,"Euskirchen, Landkreis",92769,95389,188158,0.493037766132718,0.506962233867282,0.972533520636551,55646,85397,51722,0.295740813571573,0.453857927911649,46,3.2,6.1,23470,150.1,493,0,0.00262013839432817
"87",5370,2,"Heinsberg, Landkreis",122726,126584,249310,0.492262644899924,0.507737355100076,0.969522214497883,75929,113935,65990,0.304556576150175,0.457001323653283,45.3,4.3,7.1,21221,395.3,665,0,0.00266736191889615
"88",5374,1,"Oberbergischer Kreis",132494,138124,270618,0.489597883363265,0.510402116636735,0.959239523906055,83852,120702,72833,0.309853742175317,0.446023546105581,44,3.7,5.9,29598,294.2,426,0,0.0015741746668736
"89",5378,1,"Rheinisch-Bergischer Kreis",135337,144160,279497,0.484216288546925,0.515783711453075,0.938797169811321,79787,125403,80564,0.285466391410283,0.448673867698043,51.5,2.7,6.4,23018,636.7,627,0,0.00224331567065121
"90",5382,1,"Rhein-Sieg-Kreis",285746,300035,585781,0.487803462386114,0.512196537613886,0.952375556185112,178531,265328,156950,0.304774309853,0.452947432572924,50,4.5,6,25511,504.9,763,0,0.00130253456496541
"91",5512,0,"Bottrop, kreisfreie Stadt",56099,59918,116017,0.483541205168208,0.516458794831792,0.936262892619914,33330,53128,32801,0.287285484023893,0.457932889145556,47.9,4.5,8.5,20607,1153.5,478,0,0.00412008584948757
